Abbotsbury,,-33.8692846,150.8667029
Abbotsford,,-33.8505529,151.129759
Abbotsford,VIC,-37.8045508,144.9988542
Abercrombie,,-33.3910256,149.5556273
Aberdare,,-32.8427754,151.3802736
Aberdeen,,-32.1691255,150.8946179
Aberfeldie,VIC,-37.7596196,144.8974571
Aberglasslyn,,-32.6983338,151.5344427
Abermain,,-32.8072172,151.4274977
Abernethy,,-32.8812789,151.3968519
Acacia Gardens,,-33.7324595,150.9125321
Acacia Park,,-30.5403962,151.6804555
Adaminaby,,-35.9955556,148.7747222
Adamstown Heights,,-32.9488889,151.7108333
Adamstown,,-32.9391667,151.7255556
Adelaide Airport,SA,-34.946159,138.5307956
Adelaide River,NT,-13.2387657,131.1070072
Adelaide,SA,-34.9281805,138.5999312
Adelong,,-35.3074897,148.0631466
Agnes Banks,,-33.6145082,150.7114482
Aintree,VIC,-37.7193933,144.6694023
Airds,,-34.09,150.8261111
Aireys Inlet,VIC,-38.4620894,144.1067555
Airport West,VIC,-37.7222576,144.8834942
Akuna Bay,,-33.6483305,151.2344447
Albanvale,VIC,-37.7460824,144.7685623
Albany,WA,-35.0247822,117.883608
Albert Park,VIC,-37.8452062,144.957105
Albion Heights,TAS,-42.9580493,147.3215466
Albion Hill,,-29.7816656,151.1344369
Albion,VIC,-37.7763803,144.8160713
Albury,NSW,-36.0804766,146.9162795
Aldgate,SA,-35.0152371,138.7351789
Aldinga Beach,SA,-35.279293,138.4604028
Alexander Heights,WA,-31.8271578,115.865815
Alexandra,VIC,-37.192428,145.710775
Alford,SA,-33.8168462,137.821986
Alfords Point,,-33.9839091,151.0241615
Alfred Cove,WA,-32.03045,115.8151
Alfredton,VIC,-37.558214,143.7998153
Alice Springs,NT,-23.6983884,133.8812885
Alison,,-32.4313903,151.7738859
Alison,,-33.265,151.3983333
Alkimos,WA,-31.6151987,115.6874428
Allambie Heights,,-33.7705067,151.249675
Allambie,NSW,-33.7733265,151.2594443
Allandale,,-32.7150027,151.4177731
Allansford,VIC,-38.3862028,142.6001551
Allanson,WA,-33.3349302,116.0994037
Allawah,,-33.9727133,151.1145545
Allenby Gardens,SA,-34.9016148,138.5543914
Allworth,,-32.5399586,151.9589534
Alpha,QLD,-23.6487639,146.6375809
Alphington,VIC,-37.7803992,145.0308824
Alstonville,,-28.8412757,153.4405813
Altona Meadows,VIC,-37.8814419,144.7845482
Altona North,VIC,-37.8378229,144.8342853
Amamoor,QLD,-26.3453044,152.6746864
Ambarvale,,-34.0844252,150.8017477
Amby,QLD,-26.5490156,148.1875799
Amelup,WA,-34.2237086,118.2203895
Amity Point,QLD,-27.4013942,153.4411291
Ammerdown,,-33.2460479,149.0714525
Anambah,,-32.6733333,151.4927778
Angaston,SA,-34.5027712,139.0490357
Anglesea,VIC,-38.4051948,144.188958
Annandale,,-33.881224,151.1709976
Annangrove,,-33.6574838,150.9460077
Apollo Bay,VIC,-38.7547442,143.6691463
Apollo Parkways,VIC,-37.6883603,145.1099911
Apollo,,-32.2316105,148.6342738
Applecross,WA,-32.0140001,115.8395158
Arakoon,,-30.8864757,153.0709147
Araluen,,-35.6483333,149.8177778
Ararat,VIC,-37.2843443,142.930621
Arcadia,,-33.6227289,151.0605602
Ardath,WA,-32.0292141,118.0943551
Ardeer,VIC,-37.7758681,144.8014637
Ardrossan,,-34.424675,137.915867
Ardyaloon,WA,-16.4463507,123.0605664
Argenton,,-32.9352978,151.632185
Armadale,VIC,-37.8567619,145.0206905
Armadale,WA,-32.152266,116.0147457
Arndell Park,,-33.79,150.8761111
Arno Bay,SA,-33.9150948,136.5747112
Arrawarra Headland,,-30.060426,153.2016851
Arrawarra,,-30.0511111,153.1911111
Arthurs Seat,VIC,-38.3543449,144.9537421
Ascot Park,SA,-34.9881162,138.5610603
Ascot Vale,VIC,-37.7769563,144.9137235
Ascot,VIC,-37.3987914,143.8046546
Ascot,WA,-31.9333649,115.935544
Ashburton,VIC,-37.8673582,145.0806524
Ashbury,,-33.9001107,151.1180724
Ashby,WA,-31.7311903,115.7975644
Ashcroft,,-33.915,150.9011111
Ashfield,WA,-31.9163904,115.9377624
Ashford,,-29.3257299,151.0945365
Ashford,SA,-34.9486638,138.5743627
Ashley,,-29.3170008,149.8065619
Ashmont,,-35.1244827,147.3325101
